prices.amountMax,prices.amountMin,prices.isAvailable,prices.condition,prices.currency,prices.isSale,prices.merchant,prices.online/offline,prices.shipping,brand,weight,prices.sellcount,prices.average
8.99,8.99,1,1,1,0,1,1,1,0,11.9,1,0
8.99,8.99,1,1,1,0,0,1,0,0,35.5,1,0
9,9,1,1,1,0,1,1,0,1,0.11875,0,0
9.5,9.5,1,3,1,0,1,0,0,0,2.96,0,0
9.5,9.5,1,1,1,0,0,1,1,0,4,0,0
9.51,9.51,0,1,1,0,1,0,0,0,14,1,0
9.9,9.9,0,3,1,0,0,0,0,0,1.2,1,0
9.91,9.91,1,1,1,0,0,1,1,0,5.4,1,0
9.94,9.94,1,1,1,0,1,1,0,1,18.8,1,0
9.96,9.96,1,1,1,0,0,1,1,0,11.9,1,0
9.97,9.97,1,1,1,0,0,1,1,0,0.3,1,0
9.98,9.98,1,1,1,0,0,1,0,0,0.3,0,0
9.99,9.99,0,1,1,0,0,0,0,0,11.9,0,0
9.99,9.99,1,1,1,0,0,0,0,0,4,1,0
9.99,9.99,1,1,1,0,1,1,0,0,3.05,0,0
9.99,9.99,1,3,1,0,0,1,1,1,5.4,0,0
9.99,9.99,1,3,1,0,1,1,0,0,0.11875,0,0
9.99,9.99,1,1,1,0,0,1,1,0,1,0,0
10,10,1,1,1,0,1,1,1,0,5.95,0,0
10.19,10.19,1,1,1,0,1,1,0,0,0.32625,1,0
10.38,10.38,1,1,1,0,0,0,0,1,25.79,0,0
10.39,10.39,1,1,1,0,1,1,0,0,39.5,0,0
10.5,10.5,1,1,1,0,0,0,0,0,25.79,0,0
10.99,10.99,0,1,1,1,1,1,0,0,4,0,0
10.99,10.99,0,3,1,0,1,0,0,0,11,0,0
10.99,10.99,0,3,1,0,0,0,0,0,6,1,0
10.99,10.99,0,1,2,1,0,1,0,0,3.3,1,0
10.99,10.99,1,1,1,0,0,0,0,0,0.758125,1,0
10.99,10.99,1,1,1,0,0,0,0,0,1,0,0
10.99,10.99,1,1,1,0,0,0,0,0,1.43125,0,0
11,11,0,1,1,0,0,0,0,0,11.2,0,0
13.95,8.5,1,1,1,1,0,1,1,0,1.8,0,0
11.64,11.64,1,1,1,0,0,1,1,0,0.199375,0,0
11.79,11.79,1,1,1,0,0,1,0,1,19.2,0,0
11.95,11.95,1,1,1,0,0,1,0,1,8,1,0
11.99,11.99,1,1,1,0,0,1,1,0,8,1,0
11.99,11.99,1,1,1,0,0,1,1,0,0.33,0,0
11.99,11.99,1,1,1,0,0,0,0,0,0.62375,1,0
12.45,12.45,1,1,1,0,0,0,0,1,127,1,0
12.45,12.45,1,1,1,0,0,0,0,1,0.082,0,0
13.95,11.03,1,1,1,1,0,1,1,0,39.5,1,0
12.49,12.49,1,3,1,0,1,1,0,0,39.5,0,0
12.49,12.49,1,1,1,0,1,1,0,0,0.4,0,0
12.5,12.5,0,3,1,1,1,1,0,1,3.05,1,0
12.75,12.75,1,1,1,0,1,1,0,0,25.79,1,0
12.75,12.75,1,1,1,0,1,1,0,0,48.5,0,0
12.78,12.78,0,1,1,0,0,0,0,0,0.082,0,0
12.95,12.95,0,3,1,0,0,0,0,0,79.8,0,0
12.95,12.95,1,1,1,1,1,1,0,0,1.05,0,0
12.99,12.99,0,3,1,1,1,1,0,0,62.8,0,0
12.99,12.99,0,1,1,0,1,1,1,0,11.82,0,0
12.99,12.99,1,1,1,0,0,0,0,0,0.082,1,0
12.99,12.99,1,1,1,0,0,0,0,0,0.082,0,0
12.99,12.99,1,1,1,1,1,1,0,0,1,1,0
13.07,13.07,0,3,1,0,1,1,0,0,1,0,0
13.09,13.09,0,3,1,1,1,1,0,0,3.3,0,0
13.17,13.17,1,1,1,0,0,1,1,0,0.5,1,0
13.3,13.3,0,1,1,0,1,1,0,0,11.2,0,0
13.32,13.32,0,1,1,0,1,1,0,0,4,0,0
13.38,13.38,1,1,1,0,0,1,1,0,1,1,0
13.95,12.99,1,1,1,1,0,1,1,0,11.2,0,0
13.95,13.09,1,1,1,1,0,1,1,0,11,0,0
13.88,13.88,1,1,1,0,1,1,0,0,11.2,1,0
13.95,13.95,0,3,1,0,1,0,0,0,1.05,1,0
13.95,13.95,0,3,1,1,1,1,0,0,1,1,0
13.95,13.95,0,1,1,0,0,0,0,0,26,0,0
13.95,13.95,1,1,1,0,0,1,1,1,1.05,1,0
13.95,13.95,1,1,1,0,0,1,1,0,1,1,0
13.95,13.95,1,1,1,0,1,1,0,0,1.8,0,0
13.98,13.98,0,1,2,1,0,1,0,0,1.8,1,0
13.99,13.99,1,1,1,0,0,0,0,0,1.05,1,0
13.99,13.99,1,1,1,0,0,0,0,0,1.43125,1,0
13.99,13.99,1,1,1,0,0,0,0,0,1,1,0
13.99,13.99,1,1,1,0,0,0,0,0,9.8,0,0
13.99,13.99,1,1,1,0,0,0,0,0,39.5,0,0
13.99,13.99,1,1,1,0,0,0,0,0,127,1,0
13.99,13.99,1,1,1,0,1,1,0,1,0.96,1,0
13.99,13.99,1,1,1,0,0,0,0,0,1.4,0,0
14.04,14.04,1,1,1,0,1,1,0,0,1,0,0
14.13,14.13,1,1,1,0,1,1,1,0,1,0,0
14.25,14.25,0,3,1,1,1,0,0,1,1,0,0
14.49,14.49,0,3,1,0,1,1,0,0,1.03,1,0
14.49,14.49,1,1,1,0,1,1,0,0,31,0,0
14.59,14.59,1,1,1,0,0,1,1,0,1.03,1,0
14.79,14.79,0,1,1,0,0,0,0,0,79.8,1,0
14.8,14.8,0,1,1,0,1,0,0,0,0.163,0,0
14.8,14.8,1,1,1,0,1,1,0,0,11.2,0,0
14.8,14.8,1,1,1,0,0,1,1,0,60,0,0
14.84,14.84,1,1,1,0,1,1,0,1,37.13,1,0
14.89,14.89,1,3,1,0,1,1,0,1,19,0,0
14.95,14.95,0,1,1,0,0,0,0,0,4.5,0,0
14.95,14.95,1,1,1,1,0,1,0,0,1.65,0,0
14.97,14.97,1,3,1,0,1,1,0,1,0.3125,1,0
14.98,14.98,1,1,1,0,1,1,0,1,11.2,0,0
14.99,14.99,0,1,1,0,0,0,0,0,1.4,0,0
14.99,14.99,1,3,1,0,1,1,1,1,0.079375,1,0
14.99,14.99,1,1,1,0,0,0,0,1,8.6,1,0
14.99,14.99,1,1,1,0,0,0,0,0,22,0,0
14.99,14.99,1,1,1,1,0,1,0,0,11.82,1,0
14.99,14.99,1,1,1,0,0,0,0,0,1,1,0
14.99,14.99,1,1,1,0,0,0,0,0,0.96,0,0
14.99,14.99,1,3,1,0,1,1,0,0,0.96,0,0
14.99,14.99,1,1,1,0,0,1,0,0,3.08,0,0
14.99,14.99,1,1,1,1,0,0,0,0,1,0,0
14.99,14.99,1,1,1,0,0,1,1,0,39.5,0,0
14.99,14.99,1,1,1,0,0,0,0,0,0.96,0,0
15,15,0,3,5,0,1,0,0,1,39.5,0,0
15,15,0,3,1,0,0,0,0,0,79.8,0,0
15,15,1,1,1,1,0,1,0,0,0.2,0,0
15.43,15.43,1,1,1,0,1,1,0,0,0.3125,1,0
15.49,15.49,0,3,1,1,1,1,0,1,14.3,0,0
15.54,15.54,1,1,1,0,1,1,0,0,0.082,1,0
15.83,15.83,1,1,1,0,0,0,0,1,3.3,1,0
15.85,15.85,1,1,1,0,0,1,1,0,31,1,0
15.95,15.95,1,1,1,0,1,1,0,0,0.19375,1,0
15.99,15.99,0,3,1,0,1,1,0,0,39.5,0,0
15.99,15.99,0,3,1,1,1,1,0,0,0.96,1,0
15.99,15.99,0,3,1,0,1,1,1,0,0.2,0,0
15.99,15.99,1,1,1,0,0,0,0,0,1.03,1,0
15.99,15.99,1,1,1,0,0,0,0,0,0.19375,0,0
15.99,15.99,1,1,1,0,1,1,0,0,0.1,1,0
15.99,15.99,1,1,1,0,0,0,0,0,0.758125,0,0
15.99,15.99,1,3,1,0,1,0,0,0,3.1,0,0
15.99,15.99,1,1,1,0,0,0,0,1,11.82,0,0
15.99,15.99,1,3,1,1,1,1,0,0,1.03,0,0
15.99,15.99,1,1,1,0,0,1,1,0,1.03,0,0
16,16,0,1,1,0,0,0,0,0,79.8,0,0
16,16,1,1,1,0,0,1,1,0,1.05,1,0
16,16,1,1,1,0,1,1,0,0,0.11875,1,0
16.1,16.1,0,1,1,0,0,0,0,0,0.11875,1,0
16.1,16.1,0,1,1,0,0,0,0,0,1.05,0,0
16.19,16.19,0,1,2,0,0,1,0,0,1,0,0
16.26,16.26,1,1,1,0,1,1,0,0,1.05,1,0
16.38,16.38,0,1,1,0,1,1,0,0,1.43125,0,0
16.38,16.38,0,3,1,1,1,0,0,0,19,0,0
16.42,16.42,0,1,1,1,0,0,0,0,1,0,0
16.42,16.42,1,1,1,0,1,1,0,0,1,0,0
16.45,16.45,0,3,1,0,0,0,0,0,13.8,0,0
16.45,16.45,1,1,1,0,1,1,0,0,5,0,0
16.49,16.49,0,1,1,0,1,1,0,0,5.1,0,0
19.56,13.42,1,1,1,1,1,1,1,0,0.3,0,0
16.58,16.58,0,1,1,0,1,1,0,0,12.5,0,0
16.67,16.67,1,1,1,0,0,0,0,1,1.03,1,0
16.81,16.81,0,3,1,1,1,0,0,0,1.05,1,0
16.86,16.86,1,1,1,0,0,1,1,0,39.5,0,0
16.91,16.91,0,1,1,0,1,1,0,0,79.8,0,0
16.91,16.91,0,3,1,1,1,0,0,0,62.8,0,0
16.94,16.94,1,1,1,0,1,1,1,0,1.05,0,0
16.94,16.94,1,3,1,0,1,1,0,0,1.05,1,0
16.95,16.95,1,1,1,0,1,1,0,0,19,1,0
16.95,16.95,1,1,1,0,1,1,0,0,13.8,0,0
16.95,16.95,1,1,1,0,1,0,0,0,1,0,0
16.95,16.95,1,1,1,0,1,1,0,0,19,1,0
16.95,16.95,1,1,1,0,1,0,0,0,5.1,0,0
17.99,15.94,1,1,1,1,0,1,1,0,37.13,1,0
16.99,16.99,0,3,1,1,1,1,0,0,0.04,0,0
16.99,16.99,0,3,1,0,1,0,0,0,2.9,0,0
16.99,16.99,1,1,1,0,0,0,0,0,0.5,0,0
16.99,16.99,1,1,1,0,0,1,1,0,17.2,0,0
16.99,16.99,1,1,1,0,1,1,1,0,16.3,1,0
16.99,16.99,1,3,1,0,1,1,0,0,2.9,0,0
16.99,16.99,1,1,1,0,0,0,0,0,0.4,0,0
16.99,16.99,1,1,1,0,0,0,0,0,79.8,0,0
16.99,16.99,1,1,1,0,1,1,0,0,1.05,0,0
16.99,16.99,1,1,1,0,1,1,1,0,0.1,0,0
16.99,16.99,1,2,1,0,1,1,0,1,2.4,0,0
17,17,0,3,1,0,1,1,1,0,3.3,0,0
17.11,17.11,1,1,1,0,1,1,0,0,79.8,0,0
17.79,16.46,0,1,1,1,0,0,0,0,1.43125,1,0
17.13,17.13,1,1,1,0,1,1,0,0,3.3,1,0
17.2,17.2,1,1,1,0,0,0,0,1,0.1,1,0
17.24,17.24,0,3,1,1,1,1,0,0,22,0,0
17.25,17.25,1,1,1,0,1,1,0,1,2,1,0
17.6,17.6,1,3,1,0,1,0,0,0,1.05,0,0
17.63,17.63,1,1,1,0,0,1,0,0,2.44,1,0
17.85,17.85,1,1,1,0,1,1,0,0,17.05,0,0
17.85,17.85,1,3,1,0,1,1,0,0,11.82,0,0
17.89,17.89,1,1,1,1,1,1,0,1,0.0625,0,0
17.92,17.92,1,1,1,0,0,0,0,1,0.2625,0,0
17.95,17.95,0,1,1,1,0,0,0,0,11.9,0,0
17.95,17.95,0,1,1,0,0,0,0,0,4.4,0,0
17.99,17.99,1,1,1,0,0,0,0,1,5,1,0
17.99,17.99,1,1,1,0,0,0,0,0,8.6,1,0
17.99,17.99,1,1,1,0,1,1,0,0,5,1,0
17.99,17.99,1,1,1,0,1,1,1,0,1.25,0,0
17.99,17.99,1,1,1,0,0,0,0,0,5.1,0,0
18,18,1,1,1,0,0,1,1,1,4.5,1,0
18.2,18.2,0,1,1,0,0,0,0,0,2.96,0,0
18.23,18.23,1,1,1,0,1,1,1,0,0.5,1,0
18.23,18.23,1,3,1,1,1,1,0,0,1,0,0
18.27,18.27,1,1,1,0,1,1,0,0,0.758125,1,0
18.31,18.31,0,1,1,0,1,0,0,0,6.3,1,0
18.39,18.39,1,1,1,1,1,0,0,0,0.296875,0,0
18.44,18.44,1,1,1,0,1,1,1,0,0.05,0,0
18.49,18.49,1,3,1,0,1,0,0,0,0.19375,1,0
18.49,18.49,1,1,1,0,1,1,0,0,0.75,0,0
22.2,14.99,1,1,1,1,0,1,1,0,22,0,0
24.99,12.41,1,1,1,1,0,1,1,0,2.9,0,0
18.74,18.74,1,1,1,0,0,1,1,0,1.2,0,0
18.8,18.8,1,1,1,1,0,1,0,0,1,0,0
18.83,18.83,0,3,1,0,1,0,0,0,20.8,0,0
18.95,18.95,1,1,1,0,0,1,1,0,1.8,1,0
18.97,18.97,1,1,1,0,1,1,1,0,0.62375,0,0
18.98,18.98,1,1,1,1,1,1,0,0,1.25,0,0
18.99,18.99,0,3,1,0,1,0,0,0,1.25,0,0
18.99,18.99,1,1,1,1,0,0,0,0,0.33,0,0
18.99,18.99,1,1,1,1,0,0,0,0,60,1,0
18.99,18.99,1,1,1,1,1,1,0,0,1.8,1,0
18.99,18.99,1,3,1,0,1,1,0,0,29,0,0
24.99,13.01,1,1,1,1,0,1,1,0,4.32,0,0
19,19,1,1,1,0,0,0,0,1,0.1,1,0
19,19,1,1,1,0,1,0,0,0,11.2,1,0
19,19,1,1,1,0,1,1,0,0,31.8,1,0
19.14,19.14,1,1,1,0,0,1,1,0,8.5,0,0
24.99,13.33,1,1,1,1,0,1,1,0,0.62375,1,0
19.17,19.17,1,1,1,0,0,1,0,0,0.1,0,0
19.22,19.22,1,1,1,0,0,1,1,0,1,0,0
19.24,19.24,1,1,1,0,0,1,0,0,0.96,0,0
19.5,19.5,1,1,1,0,0,1,1,0,2.05,1,0
22.22,16.79,1,1,1,1,0,1,1,0,0.3125,1,0
19.52,19.52,1,1,1,0,1,1,1,0,0.1,0,0
19.73,19.73,1,1,1,0,1,1,1,0,22,1,0
19.83,19.83,1,1,1,0,0,0,0,1,0.33,0,0
19.83,19.83,1,1,1,0,0,0,0,1,0.19375,0,0
19.84,19.84,1,1,1,0,0,0,0,1,2,1,0
19.95,19.95,1,1,1,1,1,1,0,0,7,0,0
19.95,19.95,1,3,1,0,1,1,1,0,1.35,0,0
19.95,19.95,1,1,1,1,1,1,0,0,21.1,0,0
19.95,19.95,1,1,1,0,1,1,1,0,0.3125,0,0
19.95,19.95,1,1,1,1,0,1,0,0,0.3375,1,0
19.98,19.98,0,1,2,0,0,1,0,0,22,0,0
19.99,19.99,0,1,1,0,1,1,1,0,1.43125,0,0
19.99,19.99,0,3,1,1,1,0,0,0,2.96,1,0
19.99,19.99,0,3,1,0,1,0,0,0,8,0,0
19.99,19.99,0,3,1,0,1,1,0,0,4.9,1,0
19.99,19.99,0,3,1,0,1,0,0,0,1.8,0,0
19.99,19.99,1,1,1,1,0,0,0,0,19,1,0
19.99,19.99,1,1,1,0,0,0,0,0,26,1,0
19.99,19.99,1,1,1,0,0,1,1,1,1.77,0,0
19.99,19.99,1,1,1,0,1,1,1,0,0.11875,0,0
19.99,19.99,1,1,1,0,1,1,0,0,0.64,0,0
19.99,19.99,1,3,1,0,1,1,0,1,2.20625,1,0
19.99,19.99,1,3,1,0,1,1,0,0,1.5,0,0
19.99,19.99,1,1,1,0,0,0,0,0,0.75,0,0
19.99,19.99,1,1,1,0,0,0,0,0,50,0,0
19.99,19.99,1,1,1,0,0,0,0,0,11.2,1,0
19.99,19.99,1,1,1,0,0,0,0,0,0.017,1,0
19.99,19.99,1,1,1,1,0,0,0,0,0.13125,1,0
19.99,19.99,1,1,1,1,1,1,0,1,0.575,0,0
19.99,19.99,1,1,1,0,0,1,1,0,1.29,0,0
19.99,19.99,1,1,1,1,0,0,0,1,0.64,1,0
19.99,19.99,1,1,1,0,0,0,0,1,0.96,0,0
19.99,19.99,1,1,1,0,0,0,0,0,1,0,0
19.99,19.99,1,1,1,0,0,0,0,1,0.85,0,0
19.99,19.99,1,1,1,1,1,1,0,1,5,0,0
19.99,19.99,1,1,1,1,0,0,0,1,1,0,0
19.99,19.99,1,1,1,0,0,0,0,0,1.65,0,0
19.99,19.99,1,3,1,0,1,0,0,0,5.95,0,0
19.99,19.99,1,1,1,0,1,1,0,0,22,0,0
19.99,19.99,1,1,1,0,1,1,0,0,11.2,0,0
19.99,19.99,1,1,1,0,1,1,0,0,0.005,0,0
19.99,19.99,1,1,1,0,0,0,0,0,11.9,0,0
19.99,19.99,1,1,1,0,0,1,0,0,31,1,0
19.99,19.99,1,1,1,0,0,0,0,0,48.5,0,0
19.99,19.99,1,1,1,0,0,1,1,0,48.5,0,0
19.99,19.99,1,1,1,0,0,0,0,0,6.76,1,0
20,20,1,3,1,0,1,1,1,0,6.76,1,0
22.18,17.99,1,1,1,1,0,1,1,0,2,0,0
26.39,14.04,1,1,1,1,0,1,1,0,3.4,0,0
20.23,20.23,0,3,1,0,1,0,0,0,1,0,0
20.23,20.23,1,1,1,0,1,1,1,0,0.19375,0,0
20.36,20.36,0,1,1,0,0,0,0,0,1.8,0,0
20.59,20.59,0,1,1,0,1,1,1,0,1.05,0,0
20.68,20.68,0,3,1,1,1,0,0,0,0.5,1,0
20.76,20.76,0,3,1,1,1,0,0,0,3.3,0,0
20.76,20.76,1,1,1,0,1,1,1,0,0.0975,1,0
20.9,20.9,1,1,1,0,0,1,1,0,79.8,1,0
24.99,16.93,1,1,1,1,1,1,1,0,0.33,1,0
20.97,20.97,1,1,1,0,0,1,0,0,0.4,1,0
20.98,20.98,1,1,1,1,1,1,0,0,0.84,1,0
20.99,20.99,0,3,1,0,1,0,0,0,0.2,0,0
20.99,20.99,1,1,1,1,0,1,0,0,0.65,0,0
20.99,20.99,1,1,1,0,0,0,0,0,12.4,0,0
20.99,20.99,1,1,1,0,0,0,0,0,2.54,0,0
20.99,20.99,1,1,1,1,0,0,0,0,0.025,0,0
20.99,20.99,1,1,1,1,0,0,0,0,0.62375,0,0
20.99,20.99,1,1,1,0,0,0,0,0,0.62375,0,0
20.99,20.99,1,1,1,0,0,0,0,0,29,1,0
20.99,20.99,1,1,1,0,0,0,0,0,13.7,0,0
20.99,20.99,1,1,1,0,0,0,0,0,5,0,0
20.99,20.99,1,1,1,1,0,0,0,0,1.8,1,0
20.99,20.99,1,1,1,0,0,0,0,0,0.25,0,0
20.99,20.99,1,1,1,1,0,0,0,0,58.9,0,0
20.99,20.99,1,1,1,1,0,0,0,0,58.9,0,0
20.99,20.99,1,3,1,0,1,0,0,1,0.85,1,0
21.04,21.04,0,3,1,1,1,0,0,0,0.62375,0,0
21.14,21.14,0,3,1,1,1,0,0,0,79.8,0,0
21.14,21.14,1,3,1,0,0,0,0,0,1.41,0,0
21.25,21.25,0,1,1,0,0,0,0,0,1.03,1,0
21.48,21.48,0,1,1,0,0,0,0,0,0.85,0,0
21.49,21.49,1,1,1,1,1,1,1,0,1.8,0,0
21.54,21.54,0,3,1,0,1,0,0,0,0.4,0,0
21.55,21.55,1,1,1,0,0,1,1,0,1.8,0,0
21.62,21.62,1,1,1,1,0,1,0,0,0.33,1,0
21.73,21.73,0,1,1,0,0,0,0,0,0.5,0,0
21.8,21.8,1,1,1,0,1,1,0,0,1.8,1,0
21.87,21.87,0,1,1,0,0,0,0,0,0.04,0,0
21.89,21.89,0,1,1,0,0,0,0,0,0.5,0,0
21.89,21.89,1,1,1,0,1,1,1,0,22.5,1,0
21.95,21.95,0,3,1,0,1,1,0,0,13.8,0,0
21.99,21.99,0,1,1,0,0,0,0,0,0.55,1,0
21.99,21.99,0,3,1,0,1,0,0,0,20.7,0,0
21.99,21.99,1,1,1,0,0,0,0,0,1.8,0,0
21.99,21.99,1,1,1,0,0,0,0,0,0.55,0,0
21.99,21.99,1,1,1,0,1,0,0,1,19.2,1,0
21.99,21.99,1,1,1,1,0,0,0,0,11.9,0,0
21.99,21.99,1,1,1,0,0,0,0,0,0.8,1,0
21.99,21.99,1,1,1,0,0,0,0,0,3.85,1,0
21.99,21.99,1,3,1,0,1,0,0,0,1.4,0,0
21.99,21.99,1,2,1,0,1,1,0,0,0.85,1,0
21.99,21.99,1,3,1,0,0,0,0,0,0.2625,0,0
21.99,21.99,1,1,1,0,0,1,0,0,39.5,0,0
22,22,0,1,1,0,1,1,0,0,0.62375,1,0
22,22,0,3,1,0,1,0,0,0,6.1,0,0
22.06,22.06,1,1,1,0,0,1,1,0,5.5,0,0
22.08,22.08,1,1,1,0,0,0,0,1,5.411,1,0
22.08,22.08,1,1,1,0,0,0,0,1,7.9,1,0
22.14,22.14,1,1,1,0,0,1,1,0,4.4,0,0
22.16,22.16,1,1,1,0,0,1,1,0,0.33,0,0
22.24,22.24,1,1,1,0,1,1,1,0,2.9,0,0
22.26,22.26,1,1,1,0,1,1,1,0,1.65,0,0
22.27,22.27,1,1,1,0,1,1,1,0,1.65,0,0
22.28,22.28,1,1,1,0,1,1,1,0,5.07,1,0
22.29,22.29,0,3,1,1,1,1,0,0,1.65,0,0
26.39,18.23,1,1,1,1,0,1,1,0,22.5,1,0
22.38,22.38,1,1,1,0,1,1,1,0,1,0,0
22.39,22.39,1,1,1,0,1,1,1,0,1.65,0,0
22.43,22.43,0,3,1,1,1,1,0,0,1.65,0,0
30,14.88,1,1,1,1,0,1,1,1,22.5,0,0
33.33,11.64,1,1,1,1,0,1,1,0,11.9,0,0
22.5,22.5,1,1,1,0,0,1,0,0,19.2,0,0
22.58,22.58,0,3,1,1,1,0,0,0,0.3,0,0
22.62,22.62,0,1,1,0,0,0,0,0,0.5,0,0
22.68,22.68,0,3,1,1,1,0,0,0,22.5,0,0
30,15.38,1,1,1,1,0,1,1,1,0.5,0,0
30,15.46,1,1,1,1,0,1,1,1,11.9,0,0
22.85,22.85,1,2,1,0,0,0,0,0,11.9,1,0
22.89,22.89,1,1,1,0,1,1,0,0,1.41,1,0
22.9,22.9,1,1,1,0,1,1,0,0,0.05,0,0
30,15.89,1,1,1,1,1,1,1,0,6.3,0,0
22.97,22.97,1,1,1,0,1,1,1,0,1.03,0,0
22.99,22.99,0,1,1,0,1,1,0,0,5.07,0,0
22.99,22.99,1,1,1,0,0,0,0,1,0.65,0,0
22.99,22.99,1,1,1,0,0,0,0,0,0.0975,0,0
22.99,22.99,1,1,1,0,0,0,0,0,2,0,0
22.99,22.99,1,1,1,0,0,0,0,0,0.1,1,0
22.99,22.99,1,1,1,0,0,0,0,0,0.017,0,0
22.99,22.99,1,1,1,0,1,1,0,1,4.5,1,0
22.99,22.99,1,1,1,0,0,0,0,0,0.85,0,0
22.99,22.99,1,1,1,1,0,0,0,1,5.95,0,0
22.99,22.99,1,1,1,0,0,0,0,0,58.9,0,0
22.99,22.99,1,2,1,0,1,1,0,0,1.05,0,0
23,23,1,3,1,0,0,1,0,1,5.95,0,0
23.15,23.15,0,3,1,1,1,0,0,0,3.3,0,0
23.22,23.22,0,1,1,0,0,0,0,0,22.5,0,0
23.22,23.22,1,1,1,0,0,0,0,0,3.3,0,0
23.33,23.33,1,1,1,0,0,0,0,0,22.5,0,0
23.35,23.35,0,3,1,0,0,0,0,0,2.7,1,0
23.44,23.44,1,1,1,0,0,0,0,0,22.5,0,0
23.49,23.49,1,3,1,0,0,0,0,0,0.69,0,0
23.5,23.5,1,1,1,0,0,1,0,0,4,0,0
34.97,12.54,0,1,1,1,1,0,0,0,0.758125,0,0
23.88,23.88,1,1,1,0,1,1,0,0,13.8,0,0
23.95,23.95,1,3,1,0,0,1,0,1,1.04,0,0
23.95,23.95,1,3,1,0,0,1,0,1,4,0,0
23.95,23.95,1,3,1,0,1,1,0,1,0.7,0,0
23.95,23.95,1,1,1,0,0,1,0,0,5.95,1,0
23.99,23.99,0,1,1,1,0,0,0,0,5,1,0
23.99,23.99,1,1,1,0,0,0,0,0,0.13125,0,0
23.99,23.99,1,1,1,0,0,0,0,0,8.6,1,0
23.99,23.99,1,1,1,0,0,0,0,0,2.96,1,0
23.99,23.99,1,1,1,1,0,0,0,0,0.09375,1,0
23.99,23.99,1,1,1,0,0,0,0,0,29,1,0
23.99,23.99,1,1,1,0,0,0,0,0,5,0,0
23.99,23.99,1,1,1,0,0,0,0,0,5,1,0
23.99,23.99,1,1,1,0,0,0,0,0,58.9,0,0
23.99,23.99,1,1,1,0,1,0,0,0,41.9,1,0
23.99,23.99,1,1,1,0,0,0,0,0,1.4661,1,0
23.99,23.99,1,1,1,1,0,0,0,0,0.62375,0,0
